sample_id_canonical	assembly_accession	country	year	source_database	assembly_level	n_contigs	total_sequence_length	gc_percent	contig_n50
SAMN03702627	GCA_001986755.1	USA	2011.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4111642	67.5	4111642
SAMN03702628	GCA_001986775.1	USA	2011.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4103252	67.5	4103252
SAMN03702629	GCA_001986795.1	USA	2011.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4103204	67.5	4103204
SAMN03702630	GCA_001986815.1	USA	2011.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4109537	67.5	4109537
SAMN03702631	GCA_001986835.1	USA	2011.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106500	67.5	4106500
SAMN03702632	GCA_001986855.1	USA	2011.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4111644	67.5	4111644
SAMN03702633	GCA_001986875.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106327	67.5	4106327
SAMN03702634	GCA_001986895.1	USA	2011.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4109547	67.5	4109547
SAMN03702635	GCA_001986915.1	USA	2011.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4109547	67.5	4109547
SAMN03702636	GCA_001986935.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4110589	67.5	4110589
SAMN03702637	GCA_001986955.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4109549	67.5	4109549
SAMN03702638	GCA_001986975.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4112692	67.5	4112692
SAMN03702639	GCA_001986995.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4110588	67.5	4110588
SAMN03702640	GCA_001987015.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4111608	67.5	4111608
SAMN03702641	GCA_001987035.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106381	67.5	4106381
SAMN03702642	GCA_001987055.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4103237	67.5	4103237
SAMN03702643	GCA_001987075.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4103220	67.5	4103220
SAMN03702644	GCA_001987095.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4109544	67.5	4109544
SAMN03702645	GCA_001987115.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107454	67.5	4107454
SAMN03702646	GCA_001987135.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4104251	67.5	4104251
SAMN03702647	GCA_001987155.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4104253	67.5	4104253
SAMN03702648	GCA_001987175.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4103217	67.5	4103217
SAMN03702649	GCA_001987195.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4109543	67.5	4109543
SAMN03702650	GCA_001987215.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4110433	67.5	4110433
SAMN03702651	GCA_001987235.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106397	67.5	4106397
SAMN03702652	GCA_001987255.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4108498	67.5	4108498
SAMN03702653	GCA_001987275.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107427	67.5	4107427
SAMN03702654	GCA_001987295.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4104202	67.5	4104202
SAMN03702655	GCA_001987315.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107435	67.5	4107435
SAMN03702656	GCA_001987335.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4113693	67.5	4113693
SAMN03702657	GCA_001987355.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4104294	67.5	4104294
SAMN03702658	GCA_001987375.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4091930	67.5	4091930
SAMN03702659	GCA_001987395.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4110505	67.5	4110505
SAMN03702660	GCA_001987415.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4104275	67.5	4104275
SAMN03702661	GCA_001987435.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4109548	67.5	4109548
SAMN03702662	GCA_001987455.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106406	67.5	4106406
SAMN03702663	GCA_001987475.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107398	67.5	4107398
SAMN03702664	GCA_001987495.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105343	67.5	4105343
SAMN03702665	GCA_001987515.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4109174	67.5	4109174
SAMN03702666	GCA_001987535.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4111653	67.5	4111653
SAMN03702667	GCA_001987555.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4110592	67.5	4110592
SAMN03702668	GCA_001987575.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4104353	67.5	4104353
SAMN03702669	GCA_001987595.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4108598	67.5	4108598
SAMN03702670	GCA_001987615.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107604	67.5	4107604
SAMN03702671	GCA_001987635.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4111640	67.5	4111640
SAMN03702672	GCA_001987655.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4110591	67.5	4110591
SAMN03702673	GCA_001987675.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4110595	67.5	4110595
SAMN03702674	GCA_001987695.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4103226	67.5	4103226
SAMN03702675	GCA_001987715.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107558	67.5	4107558
SAMN03702676	GCA_001987735.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106673	67.5	4106673
SAMN03702677	GCA_001987755.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106503	67.5	4106503
SAMN03702678	GCA_001987775.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4109543	67.5	4109543
SAMN03702679	GCA_001987795.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105288	67.5	4105288
SAMN03702680	GCA_001987815.1	USA		SOURCE_DATABASE_GENBANK	Complete Genome	1	4107448	67.5	4107448
SAMN03702681	GCA_001987835.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107434	67.5	4107434
SAMN03702682	GCA_001987855.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4113747	67.5	4113747
SAMN03702683	GCA_001987875.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4112724	67.5	4112724
SAMN03702684	GCA_001987895.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105464	67.5	4105464
SAMN03702685	GCA_001987915.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106346	67.5	4106346
SAMN03702686	GCA_001987935.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106381	67.5	4106381
SAMN03702687	GCA_001987955.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107474	67.5	4107474
SAMN03702688	GCA_001987975.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4109710	67.5	4109710
SAMN03702689	GCA_001987995.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106384	67.5	4106384
SAMN03702690	GCA_001988015.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106397	67.5	4106397
SAMN04221179	GCA_001988035.1	USA	1955.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4122649	67.5	4122649
SAMN04221180	GCA_001988055.1	United Kingdom	1967.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4134432	67.5	4134432
SAMN04221181	GCA_001988075.1	USA	2000.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106401	67.5	4106401
SAMN04221182	GCA_001988095.1	USA	2000.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4102201	67.5	4102201
SAMN04221183	GCA_001988115.1	USA	2000.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106366	67.5	4106366
SAMN04221184	GCA_001988135.1	USA	2003.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4103209	67.5	4103209
SAMN04221185	GCA_001988155.1	USA	2005.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4108490	67.5	4108490
SAMN04221186	GCA_001988175.1	USA	2010.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106392	67.5	4106392
SAMN04221187	GCA_001988195.1	USA	2009.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4104309	67.5	4104309
SAMN04221188	GCA_001988215.1	USA	2010.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4104135	67.5	4104135
SAMN04221189	GCA_001988235.1	USA	2010.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105094	67.5	4105094
SAMN04221190	GCA_001988255.1	USA	2011.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4102201	67.5	4102201
SAMN04221191	GCA_001988275.1	USA	2011.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105345	67.5	4105345
SAMN04221192	GCA_001988295.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107422	67.5	4107422
SAMN04221193	GCA_001988315.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4113730	67.5	4113730
SAMN04221194	GCA_001988335.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4111645	67.5	4111645
SAMN04221195	GCA_001988355.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4112694	67.5	4112694
SAMN04221196	GCA_001988375.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105331	67.5	4105331
SAMN04221197	GCA_001988395.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106379	67.5	4106379
SAMN04221198	GCA_001988415.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107421	67.5	4107421
SAMN04221199	GCA_001988435.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4103283	67.5	4103283
SAMN04221200	GCA_001988455.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106294	67.5	4106294
SAMN04383599	GCA_001988475.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107428	67.5	4107428
SAMN04383600	GCA_001988495.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105330	67.5	4105330
SAMN04383601	GCA_001988515.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4111657	67.5	4111657
SAMN04383602	GCA_001988535.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4103242	67.5	4103242
SAMN04383559	GCA_001988555.1	USA	2000.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4104403	67.5	4104403
SAMN04383560	GCA_001988575.1	USA	2004.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4104277	67.5	4104277
SAMN04383561	GCA_001988595.1	USA	2004.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4101167	67.5	4101167
SAMN04383562	GCA_001988615.1	USA	2007.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4104234	67.5	4104234
SAMN04383563	GCA_001988635.1	USA	2004.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4090785	67.5	4090785
SAMN04383564	GCA_001988655.1	USA	2009.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105353	67.5	4105353
SAMN04383565	GCA_001988675.1	USA	2008.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106376	67.5	4106376
SAMN04383566	GCA_001988695.1	USA	2005.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4102202	67.5	4102202
SAMN04383567	GCA_001988715.1	USA	2002.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105340	67.5	4105340
SAMN04383568	GCA_001988735.1	USA	2010.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106382	67.5	4106382
SAMN04383569	GCA_001988755.1	USA	2010.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107431	67.5	4107431
SAMN04383570	GCA_001988775.1	USA	2009.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4108283	67.5	4108283
SAMN04383571	GCA_001988795.1	USA	2010.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105291	67.5	4105291
SAMN04383572	GCA_001988815.1	USA	2010.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105336	67.5	4105336
SAMN04383573	GCA_001988835.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105347	67.5	4105347
SAMN04383574	GCA_001988855.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4101532	67.5	4101532
SAMN04383575	GCA_001988875.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4113750	67.5	4113750
SAMN04383576	GCA_001988895.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107418	67.5	4107418
SAMN04383577	GCA_001988915.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4112678	67.5	4112678
SAMN04383578	GCA_001988995.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107419	67.5	4107419
SAMN04383579	GCA_001989015.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4108480	67.5	4108480
SAMN04383581	GCA_001989035.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4109522	67.5	4109522
SAMN04383582	GCA_001989055.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4103084	67.5	4103084
SAMN04383583	GCA_001989075.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107596	67.5	4107596
SAMN04383584	GCA_001989095.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107607	67.5	4107607
SAMN04383585	GCA_001989115.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105638	67.5	4105638
SAMN04383587	GCA_001989135.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106378	67.5	4106378
SAMN04383588	GCA_001989155.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107438	67.5	4107438
SAMN04383589	GCA_001989175.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106377	67.5	4106377
SAMN04383590	GCA_001989195.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4102183	67.5	4102183
SAMN04383591	GCA_001989215.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4108659	67.5	4108659
SAMN04383593	GCA_001989235.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4113756	67.5	4113756
SAMN04383594	GCA_001989255.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4110604	67.5	4110604
SAMN04383595	GCA_001989275.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4108471	67.5	4108471
SAMN04383596	GCA_001989295.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4110596	67.5	4110596
SAMN04383598	GCA_001989315.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4108658	67.5	4108658
SAMN04388406	GCA_001989335.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105309	67.5	4105309
SAMN04383580	GCA_002018515.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106364	67.5	4106364
SAMN06434363	GCA_002021795.1	Japan		SOURCE_DATABASE_GENBANK	Complete Genome	1	4105522	67.5	4105522
SAMN04383586	GCA_002068675.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4110587	67.5	4110587
SAMN04383592	GCA_002068975.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106390	67.5	4106390
SAMN04383597	GCA_002069155.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4108478	67.5	4108478
SAMN04875532	GCA_002083095.2	Japan	1950.0	SOURCE_DATABASE_GENBANK	Contig	1	4123505	67.5	4123505
SAMN07137592	GCA_002240435.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4100915	67.5	4100915
SAMN07137591	GCA_002240475.1	USA	2011.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4103125	67.5	4103125
SAMN07137593	GCA_002240495.1	USA	2016.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4114583	67.5	4114583
SAMN07327524	GCA_002240515.1	USA	2016.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4110338	67.5	4110338
SAMN07235949	GCA_002270325.1	Australia	2014.0	SOURCE_DATABASE_GENBANK	Contig	276	3910437	68.0	20926
SAMN05583817	GCA_002285955.1	USA	2005.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4127835	67.5	4127835
SAMN05583809	GCA_002285975.1	United Kingdom	1967.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4126037	67.5	4126037
SAMN05583815	GCA_002285995.1	USA	2001.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4110590	67.5	4110590
SAMN05583811	GCA_002286015.1	USA	2002.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107441	67.5	4107441
SAMN05583813	GCA_002286035.1	USA	2000.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106298	67.5	4106298
SAMN05583810	GCA_002286055.1	USA	2000.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4104297	67.5	4104297
SAMN05583816	GCA_002286075.1	USA	2005.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4103239	67.5	4103239
SAMN05583814	GCA_002286095.1	USA	2002.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4103196	67.5	4103196
SAMN05583812	GCA_002286115.1	USA	2002.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4102255	67.5	4102255
SAMN05583850	GCA_002286135.1	USA	2003.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105336	67.5	4105336
SAMN05583849	GCA_002286155.1	USA	2003.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4101132	67.5	4101132
SAMN05583848	GCA_002286175.1	USA	2002.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106392	67.5	4106392
SAMN05716053	GCA_002286295.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4112627	67.5	4112627
SAMN05716055	GCA_002286315.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107500	67.5	4107500
SAMN05716054	GCA_002286335.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107375	67.5	4107375
SAMN05716052	GCA_002286355.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106367	67.5	4106367
SAMN05716051	GCA_002286375.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106365	67.5	4106365
SAMN07566686	GCA_002289365.1	India	2017.0	SOURCE_DATABASE_GENBANK	Contig	1240	3518713	67.0	5144
SAMN07566688	GCA_002289405.1	India	2017.0	SOURCE_DATABASE_GENBANK	Contig	1232	3537127	67.0	5322
SAMN05583818	GCA_002310915.1	USA	2005.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4101245	67.5	4101245
SAMN07362434	GCA_002406825.1	Mexico	2012.0	SOURCE_DATABASE_GENBANK	Contig	301	3839894	68.0	19284
SAMN07362435	GCA_002406835.1	Mexico	2014.0	SOURCE_DATABASE_GENBANK	Contig	297	3868470	68.0	20332
SAMN07362433	GCA_002406865.1	Mexico	2009.0	SOURCE_DATABASE_GENBANK	Contig	317	3884116	68.0	19430
SAMN07362432	GCA_002406875.1	Mexico	2008.0	SOURCE_DATABASE_GENBANK	Contig	341	3868965	68.0	19559
SAMN05751699	GCA_002442615.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4111636	67.5	4111636
SAMN05751698	GCA_002442635.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107365	67.5	4107365
SAMN05751696	GCA_002442655.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107128	67.5	4107128
SAMN05751694	GCA_002442675.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106441	67.5	4106441
SAMN05751693	GCA_002442695.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106343	67.5	4106343
SAMN05751692	GCA_002442715.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106326	67.5	4106326
SAMN05751697	GCA_002442735.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106189	67.5	4106189
SAMN05751695	GCA_002442755.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106009	67.5	4106009
SAMN05751700	GCA_002442775.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105315	67.5	4105315
SAMN05751701	GCA_002442795.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4103236	67.5	4103236
SAMN05751702	GCA_002442815.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4102178	67.5	4102178
SAMN06007542	GCA_002859205.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4109951	67.5	4109951
SAMN05948795	GCA_002859565.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4108491	67.5	4108491
SAMN05948796	GCA_002859585.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105355	67.5	4105355
SAMN05948797	GCA_002859605.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105450	67.5	4105450
SAMN05948798	GCA_002859625.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107548	67.5	4107548
SAMN05716050	GCA_002859645.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4102575	67.5	4102575
SAMN05950788	GCA_002859665.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106356	67.5	4106356
SAMN05950790	GCA_002859685.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4104273	67.5	4104273
SAMN05716056	GCA_002859705.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106384	67.5	4106384
SAMN05950791	GCA_002859725.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105292	67.5	4105292
SAMN06007540	GCA_002859745.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4103789	67.5	4103789
SAMN06007541	GCA_002859765.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4108318	67.5	4108318
SAMN06007543	GCA_002859785.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105872	67.5	4105872
SAMN06007544	GCA_002859805.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4103205	67.5	4103205
SAMN06007545	GCA_002859825.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4109385	67.5	4109385
SAMN03464282	GCA_002892665.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4109686	67.5	4109686
SAMN03877223	GCA_002892685.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107409	67.5	4107409
SAMN04383603	GCA_002892705.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4082563	67.5	4082563
SAMN05333714	GCA_002892725.1	USA	1947.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4102813	67.5	4102813
SAMN05333713	GCA_002892745.1	USA	1947.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4162596	67.5	4162596
SAMN04388407	GCA_002892765.1	USA	1935.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4314502	67.5	4314502
SAMN09721533	GCA_003355025.1	United Kingdom	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107923	67.5	4107923
SAMN09721534	GCA_003355045.1	United Kingdom	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4108026	67.5	4108026
SAMN09721535	GCA_003355065.1	United Kingdom	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4108152	67.5	4108152
SAMN09721537	GCA_003355085.1	United Kingdom	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4112629	67.5	4112629
SAMN09721536	GCA_003367275.1	United Kingdom	2012.0	SOURCE_DATABASE_GENBANK	Contig	2	4112147	67.5	3934130
SAMN09862822	GCA_003431345.1	Japan	1954.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4102412	67.5	4102412
SAMN09862835	GCA_003431425.1	France	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4108173	67.5	4108173
SAMN10457990	GCA_003855595.1	India	2017.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4104911	67.5	4104911
SAMN10457989	GCA_003860305.1	India	2017.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4126211	67.5	4126211
SAMN04388409	GCA_003991035.1	USA	2014.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4110595	67.5	4110595
SAMN04388408	GCA_003991055.1	USA	2015.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106512	67.5	4106512
SAMN05333715	GCA_003991095.1	missing		SOURCE_DATABASE_GENBANK	Complete Genome	1	4095467	67.5	4095467
SAMN06007762	GCA_004006155.1	USA	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4111426	67.5	4111426
SAMN06007763	GCA_004006615.1	USA	2011.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4108455	67.5	4108455
SAMN08136991	GCA_004007095.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106374	67.5	4106374
SAMN07352197	GCA_004007155.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4108444	67.5	4108444
SAMN08136966	GCA_004007215.1	USA	2000.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4100074	67.5	4100074
SAMN08136983	GCA_004007275.1	USA	2011.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4104296	67.5	4104296
SAMN08136979	GCA_004007335.1	USA	2010.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4107426	67.5	4107426
SAMN07352193	GCA_004007415.1	USA	2013.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4108479	67.5	4108479
