biosample_accession	current_accession	genome_fasta_path	resolved_genome_fasta_path	country	year	mlst_st	marker_status_bapC	marker_status_brkA	marker_status_fhaB	marker_status_phg	marker_status_sphB1	marker_status_tcfA	marker_status_vag8	marker_pident_bapC	marker_pident_brkA	marker_pident_fhaB	marker_pident_phg	marker_pident_sphB1	marker_pident_tcfA	marker_pident_vag8	marker_qcov_bapC	marker_qcov_brkA	marker_qcov_fhaB	marker_qcov_phg	marker_qcov_sphB1	marker_qcov_tcfA	marker_qcov_vag8	marker_len_bapC	marker_len_brkA	marker_len_fhaB	marker_len_phg	marker_len_sphB1	marker_len_tcfA	marker_len_vag8	marker_bapC	marker_brkA	marker_fhaB	marker_phg	marker_sphB1	marker_tcfA	marker_vag8	pseudo_control_loci_scanned
SAMN08136973	GCF_004008655.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004008655.1/GCF_004008655.1_ASM400865v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004008655.1.fasta	USA	2007	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	100.00	100.00	100.00	100.03	100.00	100.00	100.00	100.00	100.00	100.00	2988	3033	10773	1257	2796	1944	2748	211f5d0d3c7774e76983c3435c294e3b	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08136976	GCF_004008715.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004008715.1/GCF_004008715.1_ASM400871v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004008715.1.fasta	USA	2009	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08136978	GCF_004008795.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004008795.1/GCF_004008795.1_ASM400879v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004008795.1.fasta	USA	2010	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	6db816873694963834e0db01d9938cde	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08136981	GCF_004008855.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004008855.1/GCF_004008855.1_ASM400885v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004008855.1.fasta	USA	2011	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08136975	GCF_004008915.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004008915.1/GCF_004008915.1_ASM400891v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004008915.1.fasta	USA	2007	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	100.00	100.00	100.00	100.03	100.00	100.00	100.00	100.00	100.00	100.00	2988	3033	10773	1257	2796	1944	2748	617315bee57c6e03fd2aed0caf469cdb	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08136989	GCF_004008935.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004008935.1/GCF_004008935.1_ASM400893v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004008935.1.fasta	USA	2012	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	99.99	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10772	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	214cd959b341052962086ff6d9460835	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08136988	GCF_004008955.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004008955.1/GCF_004008955.1_ASM400895v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004008955.1.fasta	USA	2012	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	99.96	100.00	100.00	100.03	100.00	100.00	100.00	100.00	100.00	100.00	2988	3033	10773	1257	2796	1944	2748	617315bee57c6e03fd2aed0caf469cdb	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08136990	GCF_004008995.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004008995.1/GCF_004008995.1_ASM400899v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004008995.1.fasta	USA	2012	2	ok	below_threshold	ok	ok	below_threshold	ok	ok	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	57.20	92.10	93.08	61.91	100.00	100.00	2987	1735	9922	1170	1731	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7b9dc1b9110b8e4fdeff929e38b1404e	7a0b5c30c466cc401b973e5f5b5f18c5	9f39e5d71c62e761130782e0a2a526ee	08e1a1191e6cfdc7bf53028602ef6208	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08164940	GCF_004009015.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009015.1/GCF_004009015.1_ASM400901v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009015.1.fasta	USA	2007	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	100.00	100.00	100.00	100.03	100.00	100.00	100.00	100.00	100.00	100.00	2988	3033	10773	1257	2796	1944	2748	617315bee57c6e03fd2aed0caf469cdb	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08164944	GCF_004009035.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009035.1/GCF_004009035.1_ASM400903v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009035.1.fasta	USA	2012	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08164948	GCF_004009055.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009055.1/GCF_004009055.1_ASM400905v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009055.1.fasta	USA	2011	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08164942	GCF_004009075.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009075.1/GCF_004009075.1_ASM400907v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009075.1.fasta	USA	2012	2	ok	ok	ok	ok	ok	ok	ok	99.93	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2985	3033	10773	1257	2796	1944	2748	b47cba09fad1b5551f061135753818c3	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08164946	GCF_004009095.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009095.1/GCF_004009095.1_ASM400909v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009095.1.fasta	USA	2013	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08164949	GCF_004009115.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009115.1/GCF_004009115.1_ASM400911v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009115.1.fasta	USA	2007	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08164941	GCF_004009135.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009135.1/GCF_004009135.1_ASM400913v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009135.1.fasta	USA	2012	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08164936	GCF_004009155.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009155.1/GCF_004009155.1_ASM400915v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009155.1.fasta	USA	2003	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08164947	GCF_004009175.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009175.1/GCF_004009175.1_ASM400917v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009175.1.fasta	USA	2012	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08164937	GCF_004009195.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009195.1/GCF_004009195.1_ASM400919v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009195.1.fasta	USA	2004	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	100.00	100.00	100.00	100.03	100.00	100.00	100.00	100.00	100.00	100.00	2988	3033	10773	1257	2796	1944	2748	617315bee57c6e03fd2aed0caf469cdb	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN07352190	GCF_004009215.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009215.1/GCF_004009215.1_ASM400921v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009215.1.fasta	USA	2011	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08136986	GCF_004009235.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009235.1/GCF_004009235.1_ASM400923v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009235.1.fasta	USA	2011	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	99.96	100.00	100.00	100.03	100.00	100.00	100.00	100.00	100.00	100.00	2988	3033	10773	1257	2796	1944	2748	617315bee57c6e03fd2aed0caf469cdb	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08136967	GCF_004009255.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009255.1/GCF_004009255.1_ASM400925v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009255.1.fasta	USA	2001	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2986	3033	10773	1257	2796	1944	2748	78b68b6b29f66c30659d1bdc5016a9eb	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08136972	GCF_004009275.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009275.1/GCF_004009275.1_ASM400927v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009275.1.fasta	USA	2003	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08136985	GCF_004009295.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009295.1/GCF_004009295.1_ASM400929v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009295.1.fasta	USA	2011	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08136984	GCF_004009315.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009315.1/GCF_004009315.1_ASM400931v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009315.1.fasta	USA	2011	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2986	3033	10773	1257	2796	1944	2748	78b68b6b29f66c30659d1bdc5016a9eb	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08136987	GCF_004009335.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009335.1/GCF_004009335.1_ASM400933v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009335.1.fasta	USA	2011	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2986	3033	10773	1257	2796	1944	2748	78b68b6b29f66c30659d1bdc5016a9eb	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08136982	GCF_004009355.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009355.1/GCF_004009355.1_ASM400935v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009355.1.fasta	USA	2010	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2986	3033	10773	1257	2796	1944	2748	78b68b6b29f66c30659d1bdc5016a9eb	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08136980	GCF_004009375.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009375.1/GCF_004009375.1_ASM400937v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009375.1.fasta	USA	2010	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	99.99	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	72bd97e96b889c0d59a4a2c5eecfecac	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08136965	GCF_004009395.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009395.1/GCF_004009395.1_ASM400939v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009395.1.fasta	USA	2000	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08164939	GCF_004009415.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009415.1/GCF_004009415.1_ASM400941v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009415.1.fasta	USA	2010	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	99.96	100.00	100.00	100.03	100.00	100.00	100.00	100.00	100.00	100.00	2988	3033	10773	1257	2796	1944	2748	617315bee57c6e03fd2aed0caf469cdb	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08164945	GCF_004009435.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009435.1/GCF_004009435.1_ASM400943v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009435.1.fasta	USA	2012	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2986	3033	10773	1257	2796	1944	2748	78b68b6b29f66c30659d1bdc5016a9eb	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08164943	GCF_004009455.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009455.1/GCF_004009455.1_ASM400945v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009455.1.fasta	USA	2012	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	99.99	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2986	3033	10772	1257	2796	1944	2748	78b68b6b29f66c30659d1bdc5016a9eb	7f911efceef14a75e84a005631d3f241	214cd959b341052962086ff6d9460835	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN08164951	GCF_004009475.1	../bp_genomes_qc/ncbi_dataset/data/GCF_004009475.1/GCF_004009475.1_ASM400947v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004009475.1.fasta	USA	2012	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2986	3033	10773	1257	2796	1944	2748	78b68b6b29f66c30659d1bdc5016a9eb	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
